status_code,history,alias,site,error,years
,,,http://co-summitcounty.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
200,,,http://co-wellington.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ci.wheatridge.co.us/AgendaCenter,http://co-wheatridge.civicplus.com/AgendaCenter,,True
,,,http://ct-bristol.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
200,[<Response [302]>],https://clintonct.org/AgendaCenter,http://ct-clinton.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.coventryct.org/AgendaCenter,http://ct-coventry.civicplus.com/AgendaCenter,,True
404,,,http://ct-ellington.civicplus.com/AgendaCenter,,False
404,,,http://ct-ellingtonlibrary.civicplus.com/AgendaCenter,,False
200,,,http://ct-enfield.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://ct-greenwich.civicplus.com/AgendaCenter,http://ct-greenwich.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.hamden.com/AgendaCenter,http://ct-hamden.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.madisonct.org/AgendaCenter,http://ct-madison.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.newingtonct.gov/AgendaCenter,http://ct-newington.civicplus.com/AgendaCenter,,True
200,,,http://ct-norwich.civicplus.com/AgendaCenter,,True
200,,,http://ct-orange.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.preston-ct.org/AgendaCenter,http://ct-preston.civicplus.com/AgendaCenter,,True
200,,,http://ct-westbrook.civicplus.com/AgendaCenter,,True
200,,,http://ct-westhaven.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.woodbridgect.org/AgendaCenter,http://ct-woodbridge.civicplus.com/AgendaCenter,,True
200,,,http://de-bethanybeach.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.nccde.org/AgendaCenter,http://de-newcastlecounty.civicplus.com/AgendaCenter,,True
200,,,http://dev135.civicplus.com/AgendaCenter,,True
200,,,http://fl-altamontesprings.civicplus.com/AgendaCenter,,True
200,,,http://fl-atlanticbeach.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.baycountyfl.gov/AgendaCenter,http://fl-baycounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.bayharborislands-fl.gov/AgendaCenter,http://fl-bayharborislands.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofcallaway.com/AgendaCenter,http://fl-callaway.civicplus.com/AgendaCenter,,True
200,,,http://fl-chipley.civicplus.com/AgendaCenter,,True
200,,,http://fl-crestview.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://fl-davie.civicplus.com/AgendaCenter,http://fl-davie.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofdestin.com/AgendaCenter,http://fl-destin.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.dunnellon.org/AgendaCenter,http://fl-dunnellon.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.escambiaclerk.com/AgendaCenter,http://fl-escambiacountyclerk.civicplus.com/AgendaCenter,,True
200,,,http://fl-fernandinabeach.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://cityftmyers.com/AgendaCenter,http://fl-fortmyers.civicplus.com/AgendaCenter,,True
200,,,http://fl-fortmyersbeach.civicplus.com/AgendaCenter,,True
200,,,http://fl-groveland.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://fl-hialeah.civicplus.com/AgendaCenter,http://fl-hialeah.civicplus.com/AgendaCenter,,True
200,,,http://fl-hollywood.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.myindianshores.com/AgendaCenter,http://fl-indianshores.civicplus.com/AgendaCenter,,True
,,,http://fl-jupiter.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
